2024/11/09 21:36:28.658287 GET took 1.749999ms, cache status false 
2024/11/09 21:36:29.177982 GET took 11.908µs, cache status true 
2024/11/09 21:36:29.696866 GET took 13.719µs, cache status true 
2024/11/09 21:36:30.211092 GET took 12.773µs, cache status true 
2024/11/09 21:36:30.745314 GET took 13.43µs, cache status true 
2024/11/09 21:36:31.265163 GET took 14.884µs, cache status true 
2024/11/09 21:36:31.786880 GET took 1.851797ms, cache status false 
2024/11/09 21:36:32.301486 GET took 1.596723ms, cache status false 
2024/11/09 21:36:32.809246 GET took 12.042µs, cache status true 
2024/11/09 21:36:33.350513 GET took 1.230098ms, cache status false 
2024/11/09 21:36:33.853044 GET took 13.994µs, cache status true 
2024/11/09 21:36:34.388453 GET took 12.008µs, cache status true 
2024/11/09 21:36:34.898679 GET took 12.895µs, cache status true 
2024/11/09 21:36:35.444420 GET took 14.616µs, cache status true 
2024/11/09 21:36:35.964583 GET took 1.220111ms, cache status false 
2024/11/09 21:36:36.469709 GET took 13.696µs, cache status true 
2024/11/09 21:36:36.980432 GET took 1.35666ms, cache status false 
2024/11/09 21:36:37.500683 GET took 1.473624ms, cache status false 
2024/11/09 21:36:38.050440 GET took 1.309253ms, cache status false 
2024/11/09 21:36:38.542560 GET took 14.597µs, cache status true 
2024/11/09 21:36:39.066824 GET took 14.581µs, cache status true 
2024/11/09 21:36:39.602729 GET took 11.773µs, cache status true 
2024/11/09 21:36:40.104718 GET took 29.383µs, cache status true 
2024/11/09 21:36:40.628915 GET took 1.271667ms, cache status false 
2024/11/09 21:36:41.144165 GET took 12.91µs, cache status true 
2024/11/09 21:36:41.677678 GET took 1.708335ms, cache status false 
2024/11/09 21:36:42.190071 GET took 1.203445ms, cache status false 
2024/11/09 21:36:42.709528 GET took 14.231µs, cache status true 
2024/11/09 21:36:43.225399 GET took 12.171µs, cache status true 
2024/11/09 21:36:43.753559 GET took 1.249162ms, cache status false 
2024/11/09 21:36:44.268232 GET took 13.393µs, cache status true 
